experiment,model_type,lead,mae,rmse,bias,gradient_mae
direct_unet_50ep,baseline,all,0.32613420486450195,0.5386086702346802,0.00022195592464413494,0.17937803268432617
direct_unet_50ep,unet,all,0.21488326787948608,0.36135154962539673,-0.027306081727147102,0.1662154495716095
direct_unet_50ep,baseline,0,0.15827159583568573,0.24791249632835388,0.023417111486196518,0.01755320280790329
direct_unet_50ep,unet,0,0.112610824406147,0.19252702593803406,-0.030023649334907532,0.016294488683342934
direct_unet_50ep,baseline,1,0.34977710247039795,0.5629255771636963,0.002155359834432602,0.20988300442695618
direct_unet_50ep,unet,1,0.2302413135766983,0.3717518448829651,-0.01779741607606411,0.19745580852031708
direct_unet_50ep,baseline,2,0.3731154501438141,0.5966136455535889,0.0003065827477257699,0.21405309438705444
direct_unet_50ep,unet,2,0.2447235882282257,0.4013601243495941,-0.022052953019738197,0.19973933696746826
direct_unet_50ep,baseline,3,0.3690110146999359,0.5965235233306885,0.0004982472164556384,0.2055414319038391
direct_unet_50ep,unet,3,0.2395632416009903,0.40217602252960205,-0.02513660304248333,0.19145262241363525
direct_unet_50ep,baseline,4,0.35276636481285095,0.576863169670105,-0.0036414272617548704,0.1896805763244629
direct_unet_50ep,unet,4,0.22562700510025024,0.38162750005722046,-0.027123944833874702,0.17541292309761047
direct_unet_50ep,baseline,5,0.31439799070358276,0.5105160474777222,-0.005428250413388014,0.1599941849708557
direct_unet_50ep,unet,5,0.19696557521820068,0.3352581560611725,-0.029080122709274292,0.1460818350315094
direct_unet_50ep,baseline,6,0.29692885279655457,0.4675450921058655,-0.003208588808774948,0.1547248363494873
direct_unet_50ep,unet,6,0.1901487112045288,0.31644201278686523,-0.029198355972766876,0.14130577445030212
direct_unet_50ep,baseline,7,0.29187846183776855,0.45081013441085815,0.0006632755976170301,0.15879371762275696
direct_unet_50ep,unet,7,0.19209523499011993,0.31509119272232056,-0.02784673683345318,0.14581869542598724
direct_unet_50ep,baseline,8,0.2893003523349762,0.44428718090057373,0.004249425604939461,0.16284263134002686
direct_unet_50ep,unet,8,0.1955786496400833,0.31934839487075806,-0.026257241144776344,0.15014691650867462
direct_unet_50ep,baseline,9,0.2871166467666626,0.44162821769714355,0.006341887637972832,0.16376346349716187
direct_unet_50ep,unet,9,0.19650021195411682,0.3187745213508606,-0.023841623216867447,0.15086817741394043
direct_unet_50ep,baseline,10,0.2814626097679138,0.4368051588535309,0.00710307015106082,0.15988503396511078
direct_unet_50ep,unet,10,0.19022221863269806,0.30856066942214966,-0.022119132801890373,0.14678701758384705
direct_unet_50ep,baseline,11,0.2784613370895386,0.43877309560775757,0.007521706633269787,0.15636329352855682
direct_unet_50ep,unet,11,0.18402692675590515,0.29823896288871765,-0.020344160497188568,0.14304420351982117
direct_unet_50ep,baseline,12,0.2982195317745209,0.4787529706954956,0.007771754637360573,0.17003995180130005
direct_unet_50ep,unet,12,0.19505250453948975,0.31762686371803284,-0.01883929781615734,0.15625616908073425
direct_unet_50ep,baseline,13,0.32455217838287354,0.5286281704902649,0.002005216432735324,0.1871815174818039
direct_unet_50ep,unet,13,0.21335037052631378,0.35194846987724304,-0.021211998537182808,0.17305874824523926
direct_unet_50ep,baseline,14,0.3350825905799866,0.5516142249107361,-0.0017525890143588185,0.1908457726240158
direct_unet_50ep,unet,14,0.21953828632831573,0.3650401532649994,-0.02500453218817711,0.17674502730369568
direct_unet_50ep,baseline,15,0.34318214654922485,0.5666798949241638,-0.0028779373969882727,0.19312989711761475
direct_unet_50ep,unet,15,0.22426250576972961,0.3745746314525604,-0.026612676680088043,0.17919503152370453
direct_unet_50ep,baseline,16,0.3444092869758606,0.5713061690330505,-0.0030513089150190353,0.19337600469589233
direct_unet_50ep,unet,16,0.22570818662643433,0.3760024905204773,-0.02773350663483143,0.1795818954706192
direct_unet_50ep,baseline,17,0.3454777002334595,0.5770296454429626,-0.003418099833652377,0.1946377158164978
direct_unet_50ep,unet,17,0.22749334573745728,0.37846601009368896,-0.029302848502993584,0.1809004843235016
direct_unet_50ep,baseline,18,0.35057228803634644,0.589321494102478,-0.0038372131530195475,0.19765684008598328
direct_unet_50ep,unet,18,0.23152805864810944,0.38657253980636597,-0.03233841061592102,0.18379133939743042
direct_unet_50ep,baseline,19,0.3571615219116211,0.601167619228363,-0.005001361016184092,0.20078596472740173
direct_unet_50ep,unet,19,0.23688441514968872,0.3977189362049103,-0.032927364110946655,0.1871519386768341
direct_unet_50ep,baseline,20,0.36412084102630615,0.6126320958137512,-0.005962597671896219,0.20425282418727875
direct_unet_50ep,unet,20,0.24207660555839539,0.407522052526474,-0.03428550064563751,0.19044959545135498
direct_unet_50ep,baseline,21,0.3695927560329437,0.6235209107398987,-0.0063437470234930515,0.2060953676700592
direct_unet_50ep,unet,21,0.24572226405143738,0.41603246331214905,-0.03529108315706253,0.1922268271446228
direct_unet_50ep,baseline,22,0.3739250898361206,0.6337087750434875,-0.006073362194001675,0.2068638801574707
direct_unet_50ep,unet,22,0.24778012931346893,0.4222750961780548,-0.03510403633117676,0.19272065162658691
direct_unet_50ep,baseline,23,0.3784373104572296,0.6430234909057617,-0.006110203452408314,0.20712825655937195
direct_unet_50ep,unet,23,0.24949824810028076,0.4271567761898041,-0.035872817039489746,0.19268560409545898
